group,team,confederation,fifa_ranking,elo_rating,group_win_prob,group_advance_prob,tournament_win_prob
A,Mexico,CONCACAF,14,1752,0.28,0.50,0.010
A,South Africa,CAF,59,1480,0.05,0.10,0.001
A,South Korea,AFC,23,1680,0.18,0.35,0.005
A,Euro Playoff D,UEFA,40,1590,0.12,0.25,0.003
B,Canada,CONCACAF,41,1585,0.14,0.30,0.005
B,Euro Playoff A,UEFA,35,1620,0.10,0.20,0.003
B,Qatar,AFC,45,1540,0.07,0.15,0.001
B,Switzerland,UEFA,18,1720,0.30,0.55,0.010
C,Brazil,CONMEBOL,5,1840,0.55,0.80,0.100
C,Morocco,CAF,13,1755,0.22,0.45,0.020
C,Haiti,CONCACAF,88,1320,0.02,0.05,0.000
C,Scotland,UEFA,52,1510,0.08,0.20,0.002
D,USA,CONCACAF,11,1775,0.35,0.60,0.040
D,Paraguay,CONMEBOL,50,1520,0.08,0.18,0.002
D,Australia,AFC,24,1670,0.14,0.30,0.005
D,Euro Playoff C,UEFA,38,1600,0.10,0.22,0.003
E,Germany,UEFA,8,1810,0.48,0.75,0.070
E,Curaçao,CONCACAF,85,1330,0.02,0.05,0.000
E,Ivory Coast,CAF,38,1600,0.14,0.30,0.005
E,Ecuador,CONMEBOL,29,1650,0.16,0.35,0.008
F,Netherlands,UEFA,7,1820,0.45,0.72,0.060
F,Japan,AFC,15,1745,0.25,0.50,0.020
F,Euro Playoff B,UEFA,36,1610,0.08,0.18,0.003
F,Tunisia,CAF,39,1595,0.06,0.15,0.002
G,Belgium,UEFA,6,1830,0.50,0.76,0.050
G,Egypt,CAF,33,1630,0.12,0.28,0.005
G,Iran,AFC,21,1690,0.16,0.35,0.005
G,New Zealand,OFC,93,1290,0.02,0.06,0.000
H,Spain,UEFA,1,1900,0.60,0.84,0.170
H,Cape Verde,CAF,62,1470,0.02,0.06,0.000
H,Saudi Arabia,AFC,55,1500,0.05,0.12,0.001
H,Uruguay,CONMEBOL,10,1780,0.28,0.55,0.030
I,France,UEFA,2,1890,0.58,0.82,0.130
I,Senegal,CAF,20,1695,0.18,0.38,0.008
I,FIFA Playoff 2,TBD,70,1420,0.03,0.08,0.001
I,Norway,UEFA,44,1550,0.10,0.25,0.005
J,Argentina,CONMEBOL,3,1880,0.55,0.79,0.110
J,Algeria,CAF,37,1610,0.09,0.22,0.003
J,Austria,UEFA,25,1665,0.15,0.35,0.008
J,Jordan,AFC,68,1430,0.03,0.08,0.001
K,Portugal,UEFA,4,1870,0.42,0.70,0.080
K,FIFA Playoff 1,TBD,65,1440,0.03,0.08,0.001
K,Uzbekistan,AFC,56,1495,0.06,0.15,0.002
K,Colombia,CONMEBOL,9,1790,0.28,0.55,0.030
L,England,UEFA,4,1865,0.48,0.74,0.140
L,Croatia,UEFA,12,1760,0.25,0.50,0.020
L,Ghana,CAF,64,1460,0.04,0.10,0.001
L,Panama,CONCACAF,46,1535,0.06,0.15,0.002
