year,host,winner,runner_up,third_place,fourth_place,total_teams,total_goals,total_matches,top_scorer,top_scorer_goals
1930,Uruguay,Uruguay,Argentina,USA,Yugoslavia,13,70,18,Guillermo Stábile,8
1934,Italy,Italy,Czechoslovakia,Germany,Austria,16,70,17,Oldřich Nejedlý,5
1938,France,Italy,Hungary,Brazil,Sweden,15,84,18,Leônidas,7
1950,Brazil,Uruguay,Brazil,Sweden,Spain,13,88,22,Ademir,8
1954,Switzerland,Germany,Hungary,Austria,Uruguay,16,140,26,Sándor Kocsis,11
1958,Sweden,Brazil,Sweden,France,Germany,16,126,35,Just Fontaine,13
1962,Chile,Brazil,Czechoslovakia,Chile,Yugoslavia,16,89,32,Garrincha / Vavá / Sánchez / Jerkovic / Albert / Ivanov,4
1966,England,England,Germany,Portugal,Soviet Union,16,89,32,Eusébio,9
1970,Mexico,Brazil,Italy,Germany,Uruguay,16,95,32,Gerd Müller,10
1974,Germany,Germany,Netherlands,Poland,Brazil,16,97,38,Grzegorz Lato,7
1978,Argentina,Argentina,Netherlands,Brazil,Italy,16,102,38,Mario Kempes,6
1982,Spain,Italy,Germany,Poland,France,24,146,52,Paolo Rossi,6
1986,Mexico,Argentina,Germany,France,Belgium,24,132,52,Gary Lineker,6
1990,Italy,Germany,Argentina,Italy,England,24,115,52,Salvatore Schillaci,6
1994,USA,Brazil,Italy,Sweden,Bulgaria,24,141,52,Hristo Stoichkov / Oleg Salenko,6
1998,France,France,Brazil,Croatia,Netherlands,32,171,64,Davor Šuker,6
2002,South Korea/Japan,Brazil,Germany,Turkey,South Korea,32,161,64,Ronaldo,8
2006,Germany,Italy,France,Germany,Portugal,32,147,64,Miroslav Klose,5
2010,South Africa,Spain,Netherlands,Germany,Uruguay,32,145,64,Thomas Müller / David Villa / Wesley Sneijder / Diego Forlán,5
2014,Brazil,Germany,Argentina,Netherlands,Brazil,32,171,64,James Rodríguez,6
2018,Russia,France,Croatia,Belgium,England,32,169,64,Harry Kane,6
2022,Qatar,Argentina,France,Croatia,Morocco,32,172,64,Kylian Mbappé,8
